아이디,댓글 내용
  Layla Lee,오늘도 영상 감사합니다
  블리치프랭크슈타인,어제 계단에서 넘어져서 무릅 꼬매고 왔는데 우을 안해야겠다..감사합니다
  바나나차차,지금 태어나서 진짜 너무 다행이다
  하이드런트 유저,와 옛날에 발가락에 금갔을때 사실상 내 발이 사라졌겠구나..
  통두,02:05  더 많이 다치면 기도하라 하시는줄
  Jiyeon Lee lee,10:20 오함마 가져와라아니 오늘 창윤쌤 표정=제표정(3:04특히 ㅋㅋ)이네요
  여수 보안관,중세에는 고블린 트롤 괴물이 있었던게 확실하다.....
  Brutal_furor,오우 난 팔다리를 몇번을 짤려야하니.. 잔상처 신경안쓰는 타입이라  손발에 맨날 피딱지가 져있는데
  Kairos,와 소리만 나오는 시리즈ㅋㅋ
  뿌링,살짝만 다쳐도 절단해버린거 충격...
  VECTOR,"""기말고사 전날 최고의 선택"""
  sugarbitter54,의학의 역사의 모든 스포일러는 “야 기독교 너 진짜..” 인거 같아요.먼 중세시대만 오면 의사가 도축업자로 바뀌냐
  ㅡ,옛날시대에....늙었다는건 ...살아 남았다는것.......
  슬윤,너무재밌다 ㅠ
  아시안큐티뽀쨕무새,세상에... 인간 대체 어떻게 살아남은 거예요....?
  るいぴん🍏,골절의 역사 위에 더 끔찍한 뭐예요 ㅋㅋㅋㅋㅋ아 ㅠㅠㅠㅠㅠㅠ
  벤틀리,오늘 살아있음에 감사한 하루ㅠ
  주몽냥이,으윽 ...치료인지 고문인지 ㅠㅠ
  점근선과만남을추구,그 시절 치료 = 고문 그 시절 고문 = 일단 죽이고 보기치료= 죽이기???
  Martinas Ru,분명 의학의 역사만 골라보는 사람들 있다. ㅋㅋ
  에클랑,나이팅게일은 백의의 천사가 아니라 백의의 전사라는 후문이..
  Hellen Chistna,얘기 듣는 리액션이 내 리액션과 같음ㅋㅋ
  동그리,와~  겁나 재밌어요~^^
  Persona X,중세시대는 대체…….
  guriguri dingding,의학의 탈을 쓴 공포 채널인듯
  Carl Yun,그동안 위대하신 나이팅게일님을 헤머 들고 다니는 수녀 누나로만 알고 있어서 죄송합니다!!!
  H _H,창윤쌤... 전문 용어 말할때 마다. 진짜 너무 섹쉬하다. ㅠㅠ
  유환규,진짜 옛날에 안태어난 게 천만 다행이야 ㅋㅋㅋㅋ열댓번은 더 죽었을 듯
  리미Rimi - 미국 Vlog,여행만 가면 응가를 못해서 비키니 사진들에 배가 빵빵해요….  ㅜㅜ
  여수 보안관,상처치료했더니 방사능을 먹임 ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ
  Padroski J,끔찍.. 소름... 감사..
  Ihihih,"""야 그거 다친다고 안죽어"""
  Drone0,아플때 자르는게 강력하긴하겠...
  healeryangyang_힐러양양,...지금태어난것에감사하며살아야지..
  고영희,화상치료는 어케했는지도 궁금해요
  Dae Woong Kim,내가 코시 우승하면 장을 지진다. 감독이 미쳤거나 사주를 받았거나 둘 중 하나다.
  엄윤상,무식할지 몰라도 그러한 역사가 현재의 의학을 만든 일면의 자양분 역할을 한것이고 먼훗날 다른 각도로 현의학이 무지의 소산이 있을수 있음에 전적인 신뢰는 경계!
  뽀잉뚝딱,우리가 알고있는 중세시대 역병의사 새부리 마스크들이 저런 끔찍한 짓을 한건가요...? 아님 역병의사는 내과의고 외과의사 복장은 따로 잇나용
  김선호,중세시대부터 시작된 안아키...
  SY K,수천년 후 의사들은 과거를 보고 무슨 이야기를 할까 의사가 필요없을수도 있으려나
  duuoo,나선식하고 이 영상보니까 짜릿하네요...!
  우정잉의케이크,와 인급동5위 
  해초,현대에 태어나서 다행이다...
  Akarin,으악 뜨거워!!!! 너무 아파!!!!!!!! ㅜㅜㅜㅜㅜ 기름 좀 그만 부어!!!!!ㅜㅜㅜㅜㅠㅠㅠㅜ 제발 짜르지마!!!
  vicstone777,"너무재미있네요 , 정말 귀 잘린적 있으신건가요?"
  용용용,끓는기름 ㅋㅋㅋ 산채로 탕수육행이라니
  유니,너무 흥미롭고 재밌는데 너무괴롭네욬ㅋㅋㅋㅋㅜㅜㅜㅜㅜㅜㅜㅜㅜㅠ
  MenDog사이,모르니까 하는 행동들소독 한다고 DDT 뿌리고 하는 시절덤으로 슬레이트에 삼겹살 먹던 시절도 있다
  ♡ㅅгㄹБ은ㅈı금ㄲгㅈı도_乃,혹시 어떤 논문을 보고 이 컨텐츠를 가져오시게 되셨나요..?
  kim love,중세시대는 여러모로 미개했던것같아 ㄷㄷㄷ
  이온,제목 보고 놀래서 들어왔네요…
  후니농구,손흥민 골절 다뤄주시면 안되나요?
  행보꾸,역시 간호사
  슈라,이정도 확률이면 전쟁의 비극이라고 팔다리잘리고 찍힌 사진들중 대다수는 의사가자른거겟네
  dong kill,영상 길이도 짧은데 오프닝까지 넣으면 어떻합니까?
  탈다림집행관,골절도 뭔가 다 때려 부실거같다...
  Seokho Kang,파상풍의 역사 어떠신가요
  Classic Antenna,아~ 괜히 나이팅게일 선서하는게 아니구나.......ㄷㄷㄷㄷㄷㄷㄷ
  박혁거세,난 덜렁거리는 편이라 자잘하게 자주 다치는데 이런거 볼때마다 내가 옛날에 태어났으면 진작에 죽었겠구나 싶음..
  복아,조상님들은 강했구나
  ssin sin,무릎다치면 다리 없어지는...? ㄷㄷㄷㄷ....
  전인서,전쟁마다 발전하는거보면 사실상 전쟁의 역사인가봄
  현장삼장,그놈의 믿음이 ㅋㅋㅋㅋㅋㅋㅋ결과를 보라구 ㅜㅜ
  요소리질러,말만 의학의 역사지 사실 킬러들의 역사임 ㅎ
  망상의세계로고고,7:48 ㅋㅋㅋㅋㅋㅋㅋ
  반반,3:00 bgm 무엇? ㅋㅋㅋ 이거 분명 아트리스트에 희망찬 카테고리에 있을텐데? ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ
  pizza pizza,비슷한 시기 동양의 의학은 어땠을까... 일단 신체발...뭐더라 여튼 자르지는 않았을 거 아냐....
  su bin,현대에 태어나서 다행이다
  하이요,현대병 아토피도 궁금하네용
  마카로니,shock 소ㅑㅋ 천지네요 
  정은영,오늘 울 냥이한테 다섯손가락에 발톱자국 생겨 피봤는데....불과 2~3백년전이였음...난 죽거나 팔이 없을뻔!!!!
  해씨,100년 후 : 겨우 암 하나에 살아있는 세포까지 죽여가면서 생명연장을 했었다고??
  성재환,귀가 잘렸다? 귀를 들어낸다->상처에 기름을 부어 안면부 화상에 의한 감염되어 죽거나 운좋게 생존귀가 잘렸다? ->너 왜 귀가잘렸어? 이거 이단의식이지?->화형으로 병원균과 함께 멸균상태 됨
  가가멜고양이,저... 구석에서 숨어서 힐끔거리며 보던 구독자 입니다. 실은 제가 어제 오후부터 숨이 잘 쉬어지지 않아요 그렇다고 숨이 막히는건 아니구요 숨을 크게 쉬면서 숨을 쉬고 있거든요 한숨 쉬듯이요 속이 너무 답답해요 내일 내과를 가야하나 하다... 일요일에 이태원 풀영상을 보고 나서 잠을 제대로 못자긴 했거든요 근데 목요일 오후 부터 심장이 두근거리고  숨도 잘 쉬어지지 않고... 내과? 정신 의학과? 어디 부터 가야 할까요
  나 1트에 퀸카뜸(나 남잔데..),근데 저정도면 옛날사람들은 지금 이상황을 보고있으면 억울하겠다 나는 팔이잘려나갔는데 저사람은 밴드 붙였다고 치료되니까
  은정,11:46 절단술 영상 뭐지ㅋㅋㅋ
  Kei케이,저  시대는 여드름도 목숨 걸고 짜야겠다
  윤설미,살인의 역사가 아니라니 ( ꒪⌓꒪)
  에뤼온,지금 살고있어서 정말 다행이다
  manimani,7:48 아 ㅋㅋㅋㅋ 킹받앜ㅋㅋㅋ
  박소영,옛날의사들특너무실험적이여서탓...
  Ihihih,"""스치기만 해도 치명상"""
  xmrdhqtus H,후대에도 후손들이 현대를 이해못하겠죠 삡 하면 낫는 암이라는 병으로 매년 그렇게 많은 사람이 죽었다고? 하면서ㄷㄷㄷ
  FunnyTV,진짜 재밋다
  히릿,나이팅게일 이세계에서 전생한 사람 아닙니까?  ㅋㅋㅋ
  후후,보면 거의 이집트가 많이 보이는데 아마도 기록으로 남기는것이 이집트가 중요시했기때문인가
  토끼킥,그놈의 정치적이유 그들의 사상이나 자존심 그딴 겉치레들만 생겨서 오히려 퇴보했던거죠
  안녕,강한분들만 살아남아 유전자 넘겨줫을텐데.. 난 왜이리 약한가요
  손진호,아 그래서 이번 신작 주제가 이번 내용과 관련이 있네요
  곱등이,이낙준선생님 왜케 겐지성우님이랑 닮은거 같지
  아스트랄,검은머리 영국의사 보니까 어지럽던데 ㅋㅋㅋㅋㅋ
  SH yoon,대체 중세는 뭘까...중세시대보다 차라리 고대 이집트에 태어나는게 훨씬 나았겠네...
  은...,진짜 ㅈㄴ 무섭다...
  Papaya마야,킥보다 타다 턱다친 적 있는데 반갈죽 당할 뻔 했네요...
  the goodness,7:50 ㅋㅋㅋㅋㅋㅋㅋ 살줄 알았지? 페이크다 이녀석아!
  씰룩쌜룩,어?? 영험하구나 ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ
  최지호,살아남은자가 강한자다
  선빵필승,"13:02 영상에서는 나이팅게일의 소독과 방역의 중요성을 인식하고 도입한 것만 나오지만, 나이팅게일은 어릴 때부터 수학과 통계학에 능숙해 통계학을 기반으로 한 과학적인 의료에 기여한 바가 큰 분입니다. 실제로 부상병의 사망 원인을 분석해 '장미 도표'라는 형식으로 보고서를 작성해 여성 중 최초로 영국 통계학회 회원이 되셨다고 해요. 직접 간호를 하는것 뿐 아니라 이러한 임상경험을 바탕으로 병원에서 병상의 밀도, 배치부터 환풍기와 창문의 배치, 환자 당 배치되는 간호사의 수에 대한 기준 등을 정립하는 등 의료행정 분야에도 큰 업적을 남기셨습니다. 또한 말년에는 간호학을 학문으로 발전시키고, 체계적인 간호사 관리를 위해 간호사 면허 도입을 추진하시는 등, 현대적 의미의 간호학의 어머니라고 하실 수 있는 분입니다. 우리나라에서는 모두가 기피하는 전쟁터에서 부상병을 성심껏 보살피는 이미지와, 위의 업적이 잘 알려지지 않은 것 때문에 희생과 봉사정신의 상징처럼 여겨져 '백의의 천사'라고 불리지만 실제 나이팅게일은 '천사'보다는 '전사에' 가까운, 굉장한 고집쟁이에 저돌적인 성격을 가졌던 분이라고 해요. 한 예로 보급이 원활하지 않자 직접 망치를 들고 보급창고 자물쇠를 까부수고(!) 보급품을 긴빠이해 부상병에게 나눠준 적도 있었고 영국 육군의 장성들과도 툭하면 마찰이 있었다고 하네요. 물론 그것들이 모두 부상병을 살리기 위한 노력이었고 그 덕에 많은 부상병들을 살릴 수 있었으니 옳은 행동이었죠. 요즘으로 치면 이국종 교수님같은 포지션이신것 같습니다.(이국종 교수님도 명의로 추앙받으시지만, 같이 일하는 분들은 혀를 내두를 정도로 완벽주의자에 불 같은 성격이라고 하시네요.)"
  백상진,한 200년 뒤엔 암 걸렸다고 사람이 죽어? 이런 대화를 하는 날도 오겠지
  Hyunbin Kim,진짜 대환장파티
  Junghyun Park,듣기만 하는데도 아파.....
  Examinee,부상당하고 그냥 병원을 안가도 40프로는 살겠는데..
  조은석,그놈의 도끼 ㅋㅋ
  Ronnie Park,개재밌네요
  holysong,서양방식 치료가 정말 무식한 그 자체구만여...그에 반해 얫 동아시아에서는 상처나면 약초를 발라주고 감아주고 했지 않나요? 그에 대한 것도 좀 알려주세요.
  my editing life,2134년:뭐?!2022년엔 매스로 수술 했다고?!?!?
  문재인,상처 썩히고 반쯤 뒤지면 절단하고 튀겨버리노 ㅋㅋㅋㅋㅋ 느슨해진 현대의학에 긴장감을 주네 ㅋㅋㅋ
  Naoko,썸낼보고 이번엔 쉬어가는 주제인가? 풉 하면서 봤다가얼굴 오만상에 벌벌떨면서 봤습니다
  정광빈,아침반찬  고마워요
  Ojuns,22세기에는 손도 못대게 퍼진 암이나 지금 의학으로 치료 못하는걸 주제로 영상으로 만들어서 신기하다고 어리석었다고 말 하는 순간이 올까요
  안프란,자꾸 끓는 기름을 부어ㅠㅠㅠㅠㅠㅠㅠㅠ
  내 꿈은 사막에서건빵먹기,반찬맛집 여깄네
  alragum an,7:49 ㅋㅋㅋㅋ 살줄알았지 ?ㅋㅋㅋㅋ
  Annie,너무 재밋어요
  선물듬뿍,오늘도 감사하며…
  H칵테일슈가,재밌다..
  Hyunjung Park,총을 가져온다 아퍼서 못 걸어가는 사람도 살려고 정신력으로 움직인다
  motopoto_,"오른쪽 새끼 손가락 옆이 좀 잘려나가서 수술했는데 ,,, 침 ..감사하네요"
  ᄆᄆ,와 기름 ㅠㅠ 고문아니냐고 ㅠㅠ
  유운82,나이팅게일... 흔히들 나약한 일개 간호사가 소독하자고 호소하면서 주변인이 어... 그럼 한번 해봐... 라고 하면서 소독이라는 개념이 정착했다고 생각하는데...실제 나이팅게일은 당시 귀족으로 고위 간부... 돌아다니면서 팍씨! 소독 안해? 내 생각이 맞다니까!! 뭐? 소독약이 없어? 기다려봐.하면서 오함마들고 행보관이 지키고 있는 창고문 부수고 털어가던 과격파...ㅋㅋㅋ
  강철민,전세계 모든 의학은 종교가 배제되기 시작하면서 발전되었음
  국어0점 개꼰대,근데 중국은 진짜 무림이 있었나
  고구글,와 역대급으로 토할뻔..이 시대에 태어나서 다행이다..
  유튜브용,11:16 다들 Debride 유튜브에 검색해 보세요. 나만 볼 순 없지 :)
  계란후라이,인간 후라이드 ㄷㄷ..
  앱솔루트,팔꿈치 위로 잘리고 발도 잘렸을듯...;;;
  오후10:20분,만약 내가 한 세기만 일찍 태어났다면 20도 못 넘기고 죽었을 듯
  희희,편집자님... 묻다... ㅠㅠ 뭍다는 없어요...
  alragum an,9:32 이거보면 지금도 무슨 안아키나 무속신앙 종교(정신병) 고친다고 때려죽이고 민간요법 찾아보고...다 옛날해했다가 말아먹은 걸 아직도 의문가주고 하는 사람들 ㅠㅠ
  열정플라미니,괜히 난죽택이 나온게 아닙니다
  정원 허,성형의 역사 궁금해요!!
  내 아임다,그냥 자를게 필요한 건 아니었을까..
  별명은서너개,먼 훗날 지금의 암치료법이나 이런대중적인 치료법들이 지금 3명의 의사가 놀라듯이 그때도 헉 저런 방법으로 치료를 했단말이야 하면서 놀랄겁니다. 그러니 다들 겸손 하시오 지금도 의학이 모르는게 대부분 아닙니까  모르면 자가면역 질환이다라고 치부해 버리는 마법의 논리
  이승재,중세는 대체 무슨 일이 있던걸까
  다다,너무재밌어요
  iron golem,존나게 죽었을건데 그런 수준이면 걍 치료는 죽이기 위해서 아닐까
  클론트루퍼,구리 그거 비소도 있지 않았나? 잘못 알고있던건가
  아니야,보는내내 고통스러웟읍니닼ㅋㅋㅋ
  TOSHIRI,조선이나 중국에서는 어떻게 했는지 궁금하네요
  SP,듣고 있는데 미치겠네요 ㅋ ㅋ ㅋ ㅋ ㅋ 무서워 ㅋ ㅋ ㅋ ㅋ ㅋ ㅋ
  tealeaf,낙준쌤 바쁘신가요ㅠ
perceive,고마워요 유한양행
  해피아워,다쳤다 싶으면 그냥 목매다는게 낫겠군요 중세에는 ㅋ
  LANA KIM,지금 태어나서 다행
  G.I.Z,그렇게 생각하면 동시대 한의학이 더 발전했던거 아님? 허준서 고름도 빼고 천도 감는데ㅋㅋㄱ
  얌,10:01 순간 쌍욕함ㅋㅋ
  Humballero Lijungddakski,오 정주행 중인데 새업로드
  은새,레데리2에 미키가 생각나네
  최성준,선 추천 후 시청
  방구석필라테스,ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ
  밤알맹이,"와 씨 개충격 뜨아,,,"
  h h,오 나이팅게일이 엄청 큰일했었네
